epoch,step,test_acc,test_auroc,test_loss,test_map,train_acc,train_auroc,train_loss,train_map,val_acc,val_auroc,val_loss,val_map
0,4,,,,,,,,,0.0,0.5794833302497864,0.517841100692749,0.24987269937992096
0,4,,,,,,0.50298011302948,,0.20251764357089996,,,,
1,9,,,,,0.0,,0.4383601248264313,,,,,
1,9,,,,,,,,,0.0,0.5594830513000488,0.4472009837627411,0.22787363827228546
1,9,,,,,,0.5327620506286621,,0.20045939087867737,,,,
2,14,,,,,,,,,0.0,0.5644681453704834,0.4597187042236328,0.22082990407943726
2,14,,,,,,0.5622351169586182,,0.21787330508232117,,,,
3,19,,,,,0.0,,0.375387966632843,,,,,
3,19,,,,,,,,,0.0,0.5779281854629517,0.4277167022228241,0.22046668827533722
3,19,,,,,,0.6003537178039551,,0.23536424338817596,,,,
4,24,,,,,,,,,0.0833333358168602,0.5933340787887573,0.4340057969093323,0.23417259752750397
4,24,,,,,,0.6339350938796997,,0.26981350779533386,,,,
5,29,,,,,0.1538461595773697,,0.319061279296875,,,,,
5,29,,,,,,,,,0.0833333358168602,0.6100782752037048,0.41240277886390686,0.24703636765480042
5,29,,,,,,0.6664926409721375,,0.3039722144603729,,,,
6,34,,,,,,,,,0.1388888955116272,0.6248475909233093,0.41826528310775757,0.26540902256965637
6,34,,,,,,0.6912166476249695,,0.3435337245464325,,,,
7,39,,,,,0.3076923191547394,,0.2668702304363251,,,,,
7,39,,,,,,,,,0.1388888955116272,0.6370540857315063,0.4163254499435425,0.2842928469181061
7,39,,,,,,0.7130312323570251,,0.37808409333229065,,,,
8,44,,,,,,,,,0.1666666716337204,0.6479232907295227,0.4102855324745178,0.3065005838871002
8,44,,,,,,0.7321996092796326,,0.4110095202922821,,,,
9,49,,,,,0.38461539149284363,,0.22516335546970367,,,,,
9,49,,,,,,,,,0.1666666716337204,0.6569833755493164,0.4117846190929413,0.32300806045532227
9,49,,,,,,0.7478851675987244,,0.4375467598438263,,,,
10,54,,,,,,,,,0.1666666716337204,0.6645599603652954,0.41681814193725586,0.3343198597431183
10,54,,,,,,0.7618858814239502,,0.4627874791622162,,,,
11,59,,,,,0.5384615659713745,,0.19180357456207275,,,,,
11,59,,,,,,,,,0.1944444477558136,0.6721494197845459,0.4103846251964569,0.34583398699760437
11,59,,,,,,0.7742429971694946,,0.4852905869483948,,,,
12,64,,,,,,,,,0.1944444477558136,0.6788977384567261,0.4100807309150696,0.3575776219367981
12,64,,,,,,0.7854415774345398,,0.5061230063438416,,,,
13,69,,,,,0.7692307829856873,,0.16683273017406464,,,,,
13,69,,,,,,,,,0.2222222238779068,0.6848844885826111,0.4128611385822296,0.3640233278274536
13,69,,,,,,0.7957363724708557,,0.5266659259796143,,,,
14,74,,,,,,,,,0.2777777910232544,0.6907930970191956,0.41046473383903503,0.37343791127204895
14,74,,,,,,0.8053118586540222,,0.5465152263641357,,,,
15,79,,,,,0.9230769872665405,,0.1410827487707138,,,,,
15,79,,,,,,,,,0.2777777910232544,0.6963576674461365,0.40734952688217163,0.38107770681381226
15,79,,,,,,0.8143932223320007,,0.5649986267089844,,,,
16,84,,,,,,,,,0.3055555522441864,0.7018018960952759,0.4025256335735321,0.3872341215610504
16,84,,,,,,0.8227682709693909,,0.5826143622398376,,,,
17,89,,,,,1.0,,0.11912741512060165,,,,,
17,89,,,,,,,,,0.2777777910232544,0.7064532041549683,0.40339693427085876,0.3940238654613495
17,89,,,,,,0.8305318355560303,,0.5990265011787415,,,,
18,94,,,,,,,,,0.3055555522441864,0.7106172442436218,0.4079570174217224,0.39837825298309326
18,94,,,,,,0.8377192616462708,,0.6142367124557495,,,,
19,99,,,,,1.0,,0.10005221515893936,,,,,
19,99,,,,,,,,,0.2777777910232544,0.7139904499053955,0.41804301738739014,0.4035855829715729
19,99,,,,,,0.844229519367218,,0.6282945871353149,,,,
20,104,,,,,,,,,0.3055555522441864,0.7168934345245361,0.4302464723587036,0.40686866641044617
20,104,,,,,,0.8502997159957886,,0.6413581371307373,,,,
21,109,,,,,1.0,,0.09082385897636414,,,,,
21,109,,,,,,,,,0.2777777910232544,0.7203510999679565,0.4114607274532318,0.4122879207134247
21,109,,,,,,0.8560482859611511,,0.6532056927680969,,,,
22,110,0.15555556118488312,0.7041448354721069,0.45336756110191345,0.3740854859352112,,,,,,,,
